Sex,Marital status,Age,Education,Income,Occupation,Settlement size
Male,single,67,university,124670,skilled employee/official,big city
female,non-sngle,22,high school,150773,skilled employee/official,big city
Male,single,49,high school,89210,unemployed/unskilled,small city
Male,single,45,high school,171565,skilled employee/official,mid-sized city
Male,single,53,high school,149031,skilled employee/official,mid-sized city
Male,single,35,high school,144848,unemployed/unskilled,small city
Male,single,53,high school,156495,skilled employee/official,mid-sized city
Male,single,35,high school,193621,management/highly qualified employee,mid-sized city
Male,non-sngle,61,university,151591,unemployed/unskilled,small city
Male,non-sngle,28,high school,174646,management/highly qualified employee,small city
female,non-sngle,25,high school,108469,skilled employee/official,small city
female,non-sngle,24,high school,127596,skilled employee/official,small city
female,non-sngle,22,high school,108687,skilled employee/official,big city
Male,single,60,university,89374,unemployed/unskilled,small city
female,non-sngle,28,high school,102899,skilled employee/official,mid-sized city
female,non-sngle,32,high school,88428,unemployed/unskilled,small city
Male,single,53,high school,125550,skilled employee/official,small city
Male,single,25,other/unknown,157434,skilled employee/official,big city
female,non-sngle,44,university,261952,management/highly qualified employee,big city
Male,single,31,other/unknown,144657,skilled employee/official,mid-sized city
Male,single,48,high school,118777,skilled employee/official,mid-sized city
Male,single,44,high school,147511,skilled employee/official,mid-sized city
Male,single,48,high school,89804,unemployed/unskilled,small city
Male,single,44,high school,134918,skilled employee/official,big city
Male,non-sngle,26,high school,103667,skilled employee/official,big city
Male,single,36,high school,71909,unemployed/unskilled,small city
Male,non-sngle,39,high school,68264,unemployed/unskilled,small city
female,non-sngle,42,university,163025,skilled employee/official,mid-sized city
Male,single,34,high school,119307,skilled employee/official,mid-sized city
Male,single,63,university,175882,skilled employee/official,small city
Male,non-sngle,36,high school,159646,skilled employee/official,mid-sized city
Male,single,27,other/unknown,120131,skilled employee/official,mid-sized city
Male,single,30,other/unknown,162745,skilled employee/official,big city
Male,single,57,university,87605,unemployed/unskilled,small city
female,non-sngle,33,high school,155569,management/highly qualified employee,mid-sized city
Male,single,25,other/unknown,104505,unemployed/unskilled,small city
Male,single,31,other/unknown,143385,skilled employee/official,big city
Male,single,37,high school,127676,skilled employee/official,mid-sized city
Male,single,37,high school,119276,skilled employee/official,mid-sized city
Male,single,24,other/unknown,92542,skilled employee/official,mid-sized city
Male,single,30,other/unknown,163329,management/highly qualified employee,mid-sized city
Male,non-sngle,26,high school,130921,skilled employee/official,small city
Male,single,44,high school,133658,unemployed/unskilled,small city
Male,non-sngle,24,high school,155104,skilled employee/official,mid-sized city
female,non-sngle,58,university,142335,unemployed/unskilled,mid-sized city
female,non-sngle,35,high school,138387,management/highly qualified employee,mid-sized city
Male,single,39,high school,140182,skilled employee/official,small city
female,non-sngle,23,high school,65421,unemployed/unskilled,small city
Male,single,39,high school,130500,unemployed/unskilled,small city
female,non-sngle,28,high school,122831,skilled employee/official,small city
Male,single,29,other/unknown,84531,unemployed/unskilled,small city
Male,single,30,other/unknown,180196,management/highly qualified employee,big city
Male,single,25,other/unknown,92058,skilled employee/official,big city
Male,single,31,other/unknown,117158,skilled employee/official,small city
Male,single,57,university,135830,skilled employee/official,mid-sized city
Male,single,26,other/unknown,58258,unemployed/unskilled,small city
Male,single,52,high school,202575,management/highly qualified employee,big city
female,non-sngle,31,high school,183657,skilled employee/official,mid-sized city
female,non-sngle,23,high school,152267,management/highly qualified employee,mid-sized city
female,non-sngle,23,high school,115240,unemployed/unskilled,small city
Male,non-sngle,27,high school,106955,skilled employee/official,big city
Male,single,50,high school,123641,skilled employee/official,mid-sized city
Male,single,61,university,166410,management/highly qualified employee,mid-sized city
Male,single,25,other/unknown,227385,skilled employee/official,big city
female,non-sngle,26,high school,118372,skilled employee/official,mid-sized city
Male,single,48,high school,148115,skilled employee/official,mid-sized city
female,non-sngle,29,high school,111069,skilled employee/official,small city
Male,non-sngle,22,high school,139780,skilled employee/official,small city
Male,single,37,high school,106978,skilled employee/official,big city
female,non-sngle,25,high school,110019,skilled employee/official,big city
female,non-sngle,30,high school,169102,skilled employee/official,mid-sized city
Male,single,46,high school,73703,unemployed/unskilled,small city
Male,single,51,high school,141858,management/highly qualified employee,big city
female,non-sngle,41,university,135959,unemployed/unskilled,small city
Male,single,40,high school,140888,management/highly qualified employee,big city
Male,single,66,university,157299,management/highly qualified employee,big city
Male,single,34,high school,125187,skilled employee/official,mid-sized city
Male,single,51,high school,155486,skilled employee/official,big city
Male,single,39,high school,151697,unemployed/unskilled,small city
Male,non-sngle,22,high school,126400,skilled employee/official,mid-sized city
female,non-sngle,44,university,159246,skilled employee/official,big city
Male,single,47,high school,136138,skilled employee/official,mid-sized city
female,non-sngle,24,high school,84792,unemployed/unskilled,small city
female,non-sngle,58,university,100210,unemployed/unskilled,small city
Male,single,52,high school,93706,unemployed/unskilled,small city
female,non-sngle,29,high school,133783,management/highly qualified employee,mid-sized city
female,non-sngle,27,high school,110064,skilled employee/official,big city
Male,single,47,high school,241068,skilled employee/official,mid-sized city
Male,single,30,other/unknown,149022,management/highly qualified employee,big city
Male,single,28,other/unknown,92973,skilled employee/official,big city
Male,single,56,high school,110605,skilled employee/official,mid-sized city
Male,single,54,high school,116604,skilled employee/official,mid-sized city
female,non-sngle,33,high school,71070,unemployed/unskilled,small city
Male,single,20,other/unknown,128678,skilled employee/official,mid-sized city
Male,single,54,high school,165230,skilled employee/official,big city
Male,single,58,university,268340,skilled employee/official,mid-sized city
female,non-sngle,61,university,135070,skilled employee/official,mid-sized city
Male,single,34,high school,134794,skilled employee/official,big city
Male,single,36,high school,120153,skilled employee/official,mid-sized city
Male,single,36,high school,195465,management/highly qualified employee,big city
Male,non-sngle,41,high school,93372,unemployed/unskilled,small city
Male,single,24,other/unknown,110446,skilled employee/official,small city
female,non-sngle,24,high school,95186,skilled employee/official,mid-sized city
Male,single,35,high school,115343,skilled employee/official,mid-sized city
